Station,Aadorf / Tänikon,Adelboden,Aigle,Altdorf,Altenrhein,Andeer,Andermatt,Basel / Binningen,Bern / Zollikofen,Beznau,Biasca,Bischofszell / Sitterdorf,Bière,Boltigen,Bouveret,Brienz,Buchs / Aarau,Buffalora,Cevio,Chasseral,Chaumont,Cimetta,Col du Grand St-Bernard,Crap Masegn,Cressier,Davos,Egolzwil,Einsiedeln,Engelberg,Evolène / Villa,Fahy,Fribourg / Grangeneuve,Genève / Cointrin,Gersau,Glarus,Grenchen,Grono,Grächen,Gösgen,"Gütsch, Andermatt",Güttingen,Interlaken,La Brévine,La Dôle,Langnau i.E.,Les Attelas,Les Charbonnières,Les Diablerets,Lugano,Luzern,Magadino / Cadenazzo,Matro,Mottec,Möhlin,Neuchâtel,Nyon / Changins,Passo del Bernina,Payerne,"Pfäffikon, ZH",Piz Corvatsch,Pully,S. Bernardino,Samedan,"Sattel, SZ",Schüpfheim,Scuol,Simplon-Dorf,Sion,St. Gallen,Stabio,Steckborn,Thun,Ulrichen,Vaduz,Vicosoprano,Wynau,Wädenswil,Zermatt,Zürich / Affoltern,Acquarossa / Comprovasco,Arosa,"Blatten, Lötschental",Bullet / La Frétaz,Cham,Chur,Delémont,Elm,Evionnaz,Giswil,Gornergrat,Göschenen,Ilanz,Jungfraujoch,Koppigen,Meiringen,"Montagnier, Bagnes",Montana,Robièi,Salen-Reutenen,Schmerikon,Segl-Maria,Weissfluhjoch,Würenlingen / PSI,Bad Ragaz,Château-d'Oex,Disentis,Ebnat-Kappel,Eggishorn,Grimsel Hospiz,Hallau,Hörnli,La Chaux-de-Fonds,Le Moléson,Leibstadt,Locarno / Monti,Lägern,Mathod,Monte Generoso,Mosen,Mühleberg,Naluns / Schlivera,Napf,Oberriet / Kriessern,Oron,Pilatus,Piotta,Piz Martegnas,Plaffeien,Poschiavo / Robbia,Quinten,Rünenberg,Schaffhausen,"Sta. Maria, Val Müstair",Säntis,Titlis,Valbella,Visp
2024-06-27 16:50,951.1,868.9,968.9,962.1,966.7,903.3,857.9,975.1,949.3,974.3,978.4,954.4,936.3,921.0,970.0,947.8,967.8,805.8,962.8,842.0,888.2,834.9,758.3,757.7,962.8,842.1,952.8,911.8,898.8,819.5,944.7,939.2,965.9,953.3,954.5,962.9,973.6,840.1,968.4,775.8,961.8,946.7,897.6,835.6,929.0,736.2,898.4,715.9,976.4,960.5,986.5,784.7,843.6,972.6,957.0,960.6,778.7,956.6,951.5,686.1,961.0,837.3,830.6,924.4,929.2,871.2,853.2,956.4,925.6,970.6,966.5,947.5,865.9,961.1,892.5,963.7,957.2,836.7,961.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 17:00,,868.9,968.9,962.1,966.6,903.1,858.0,975.1,,974.4,,,936.3,921.0,970.0,947.8,,805.7,962.8,,888.2,834.9,,757.6,,,952.8,,,819.6,944.8,939.3,965.9,953.2,954.4,963.0,973.6,840.2,968.4,,,946.7,897.7,,929.0,736.3,,715.9,976.4,960.5,,,,972.6,,960.6,778.5,,,686.2,,837.4,,924.4,,,,,,970.6,,,,960.9,,963.7,957.2,836.8,961.6,946.2,814.1,847.6,882.0,961.9,949.5,961.7,907.2,957.7,958.8,701.5,907.4,934.3,663.8,956.8,945.5,918.9,859.0,812.3,931.7,965.9,821.4,740.7,973.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 17:20,950.9,869.1,968.7,962.0,966.4,903.1,857.8,975.2,949.5,974.2,978.4,954.4,936.1,921.3,969.8,947.8,967.6,805.7,962.8,842.2,888.4,834.9,758.4,757.6,963.0,842.0,952.9,911.7,898.7,819.7,944.9,939.4,965.8,953.2,954.3,963.1,973.6,840.3,968.3,775.9,961.6,946.7,897.6,835.5,929.2,736.4,898.1,716.0,976.3,960.5,986.6,784.7,843.8,972.6,957.1,960.4,778.5,956.7,951.3,686.2,960.8,837.4,830.5,924.4,929.4,870.8,853.4,956.5,925.6,970.7,966.3,947.6,865.9,961.0,892.2,963.8,957.1,836.9,961.5,946.2,814.0,847.7,881.7,961.8,949.4,961.8,907.1,957.7,958.8,701.6,907.5,934.3,663.9,956.9,945.6,919.0,859.2,812.4,931.5,965.7,821.3,740.7,973.2,956.8,900.0,882.0,942.1,721.7,807.0,964.1,888.3,900.8,806.0,972.5,968.1,918.2,962.5,841.1,960.6,957.5,767.0,861.1,966.0,920.9,793.2,901.8,740.9,898.2,893.5,965.0,943.3,961.8,862.6,755.9,703.9,844.9,938.6
2024-06-27 18:20,951.0,869.1,968.8,962.0,966.5,903.2,857.9,975.2,949.4,974.1,978.3,954.4,936.0,921.2,969.7,947.8,967.3,805.5,962.9,842.2,888.2,835.1,758.5,757.5,962.8,841.9,952.7,911.6,898.7,819.7,944.8,939.2,965.9,953.2,954.0,962.9,973.7,840.4,968.1,776.0,961.7,946.6,897.6,835.1,929.2,736.3,898.0,715.9,976.4,960.4,986.6,784.7,843.9,972.5,956.9,960.3,778.4,956.5,951.2,686.3,960.7,837.3,830.3,924.3,929.3,870.6,853.3,956.5,925.8,970.7,966.4,947.6,866.0,960.7,892.3,963.5,956.9,837.1,961.2,946.1,813.9,847.8,881.7,961.7,949.3,961.8,906.7,957.6,958.7,701.7,907.3,934.3,663.9,956.8,945.4,919.3,859.2,812.5,931.6,965.6,821.2,740.7,973.2,956.4,900.0,881.9,942.2,721.6,807.1,964.0,888.4,900.7,805.9,972.3,968.1,918.1,962.3,841.2,960.4,957.3,767.0,861.0,965.9,920.8,793.2,901.9,741.0,898.1,893.4,964.7,943.1,961.8,862.2,756.2,704.1,844.8,938.7
2024-06-27 19:20,950.9,869.2,968.7,962.2,966.5,903.5,858.0,975.1,949.4,974.0,978.6,954.3,936.1,921.2,969.6,947.9,967.4,805.5,963.4,842.2,888.2,835.2,758.5,757.8,962.7,842.1,952.8,911.7,898.9,819.8,944.8,939.2,965.5,953.3,954.1,963.0,973.9,840.6,968.1,776.1,961.6,946.8,897.5,835.3,929.3,736.3,898.2,715.9,976.6,960.5,986.9,784.9,844.0,972.4,956.8,960.4,778.5,956.5,951.2,686.3,960.8,837.6,830.4,924.4,929.5,870.8,853.9,956.9,925.7,970.9,966.2,947.8,866.3,960.7,892.5,963.6,956.9,837.2,961.2,946.3,814.3,848.1,881.7,961.7,949.5,961.8,906.9,957.7,958.9,701.8,907.5,934.5,664.0,956.8,945.6,919.6,859.4,812.7,931.5,965.6,821.3,740.8,973.1,956.4,900.0,882.1,942.2,722.0,807.3,963.7,888.5,900.6,805.7,972.3,968.3,918.1,962.4,841.2,960.4,957.3,767.1,861.2,965.8,920.8,793.3,902.3,741.2,898.1,893.7,964.7,943.1,961.6,862.4,756.4,704.2,845.1,939.2
2024-06-27 20:20,951.3,869.5,969.0,962.5,966.7,903.8,858.4,975.6,949.8,974.5,979.2,954.6,936.2,921.6,970.0,948.3,967.8,806.0,963.8,842.3,888.5,835.3,758.6,758.1,963.2,842.3,953.1,912.0,899.1,819.9,945.0,939.5,965.8,953.5,954.5,963.4,974.5,840.6,968.5,776.2,961.9,947.2,897.8,835.3,929.6,736.3,898.3,715.9,976.8,960.7,987.1,785.0,844.2,972.9,957.2,960.7,778.9,956.9,951.6,686.7,961.0,838.1,830.8,924.6,929.8,871.3,854.0,957.1,926.0,971.1,966.6,948.0,,960.9,893.2,963.9,957.3,837.3,961.7,946.9,814.4,848.2,881.8,962.1,949.8,962.3,907.4,957.7,959.2,701.7,907.9,934.8,664.0,957.1,946.0,919.5,859.5,812.9,931.8,965.8,821.7,741.0,973.6,956.8,900.1,882.6,942.5,721.8,807.5,964.2,888.7,901.0,805.9,972.8,968.5,918.6,962.8,841.2,960.9,957.8,767.5,861.4,966.2,921.1,793.6,902.8,741.4,898.3,894.2,964.9,943.5,962.1,862.8,756.6,704.3,845.1,939.5
2024-06-28 08:20,955.0,872.2,972.9,966.6,971.0,908.2,861.5,979.5,953.7,979.2,984.1,958.6,939.3,925.2,973.9,952.6,972.2,809.0,968.1,844.6,,837.9,760.6,760.2,967.3,845.4,957.2,915.1,902.1,822.5,948.2,943.0,969.5,957.4,958.6,967.7,979.2,844.2,972.9,778.5,966.1,951.4,900.5,837.5,933.1,738.3,901.1,717.7,981.4,964.8,992.3,787.5,847.2,977.1,961.3,964.2,781.3,960.7,955.4,688.5,964.6,840.5,834.3,928.1,933.2,875.6,856.9,962.6,929.3,975.1,970.9,952.2,870.5,965.3,896.0,968.2,961.2,841.1,965.8,951.1,817.1,851.5,884.4,966.2,954.7,966.1,910.6,962.0,963.2,703.8,911.0,939.6,665.8,961.3,950.2,923.8,862.7,815.5,935.2,969.9,824.8,743.2,978.2,961.3,903.3,886.3,946.2,724.0,809.8,968.5,891.5,903.6,808.1,977.4,973.1,921.7,966.8,843.9,965.0,961.8,769.8,863.9,970.4,923.9,795.6,906.3,743.6,901.1,897.6,969.6,946.8,966.2,866.3,758.8,706.0,848.2,945.3
2024-06-28 09:10,955.3,,973.1,,,908.2,,,,,,,939.6,925.3,974.0,952.7,,809.2,968.3,844.9,891.6,838.3,761.0,760.4,967.6,,957.4,,902.5,822.9,948.6,943.3,969.7,,958.7,,,844.5,,,966.4,,900.7,837.9,933.2,,901.3,,981.6,,992.3,787.8,847.5,977.3,961.5,,,,,,,,,,933.4,875.5,,962.7,,,971.4,952.5,,,896.1,968.4,,,966.1,,817.3,851.6,884.7,966.5,954.6,966.4,,962.0,963.4,704.1,,,666.0,961.6,950.4,923.7,,,935.7,,,,978.2,961.2,903.5,886.3,946.4,,810.2,,,903.9,,977.5,,922.0,,844.3,965.2,962.1,,864.3,970.6,924.1,,906.5,743.9,,897.6,969.8,947.1,966.6,866.5,,,848.3,
2024-06-28 10:20,955.7,872.7,973.0,966.9,971.6,908.0,861.7,980.0,954.1,979.4,983.9,959.3,939.8,925.3,974.1,952.7,972.5,809.4,968.2,845.4,891.9,838.7,761.6,761.1,967.8,845.8,957.5,915.8,902.6,823.1,948.9,943.5,969.9,957.9,958.8,968.1,979.1,844.8,973.2,779.3,966.9,951.5,901.0,838.2,933.5,739.2,901.3,718.5,981.8,965.1,992.4,788.2,847.7,977.5,961.7,964.5,782.0,961.1,956.1,689.6,965.1,841.0,834.4,928.5,933.5,875.5,857.5,962.3,930.1,975.9,971.7,952.6,870.7,965.5,896.3,968.6,961.9,841.4,966.3,950.9,817.7,851.8,885.0,966.6,954.3,966.4,911.2,961.9,963.4,704.5,911.4,939.3,666.6,961.7,950.4,923.7,863.2,816.2,936.2,970.5,825.1,744.2,978.4,961.3,903.4,886.3,946.7,724.9,810.6,969.0,892.5,904.2,808.8,977.6,973.4,922.4,967.1,844.8,965.3,962.2,770.7,864.7,970.8,924.5,796.5,906.3,744.5,901.8,897.7,969.7,947.4,966.9,866.5,759.5,707.0,848.6,945.1
2024-06-28 11:20,955.9,872.7,,,971.7,907.7,861.8,980.1,954.1,979.4,,,940.0,924.9,,952.5,972.5,809.4,968.1,845.6,892.1,839.0,761.8,,967.7,845.8,957.5,915.8,902.6,,949.2,943.5,969.8,957.7,958.7,968.1,978.8,844.8,973.1,779.6,,951.4,901.1,838.6,933.6,739.4,901.5,718.9,982.0,965.2,992.3,,847.7,977.6,961.7,964.6,,960.9,956.2,689.9,965.1,841.2,834.3,,,,857.7,961.7,930.4,976.0,,952.5,870.7,965.4,896.6,968.6,961.9,,966.4,950.9,818.0,851.9,885.2,,954.0,966.4,910.9,961.6,,705.0,,,667.0,961.7,950.1,,863.2,816.6,936.4,970.5,825.1,744.5,978.4,961.2,903.3,886.2,946.8,725.2,810.8,968.9,892.8,,809.1,977.6,973.5,922.7,967.1,845.2,965.3,,770.9,865.0,970.8,924.6,,906.1,744.8,902.0,897.5,969.5,947.6,966.9,866.5,760.0,707.4,848.7,
